Date,Open,High,Low,Close,Volumn
2019-01-02 09:10:00+07:00,41.8,42.15,41.8,42.15,87940
2019-01-02 09:20:00+07:00,42.15,42.15,42.0,42.1,7070
2019-01-02 09:30:00+07:00,42.1,42.15,42.0,42.15,6060
2019-01-02 09:40:00+07:00,42.1,42.1,42.0,42.0,22190
2019-01-02 09:50:00+07:00,41.95,42.0,41.9,41.9,4010
2019-01-02 10:00:00+07:00,41.9,41.9,41.8,41.85,3160
2019-01-02 10:10:00+07:00,41.85,41.9,41.85,41.85,3210
2019-01-02 10:20:00+07:00,41.8,41.85,41.8,41.85,2320
2019-01-02 10:30:00+07:00,41.9,41.9,41.8,41.9,34080
2019-01-02 10:40:00+07:00,41.9,41.9,41.9,41.9,2650
2019-01-02 10:50:00+07:00,41.95,42.1,41.95,42.0,7140
2019-01-02 11:00:00+07:00,42.0,42.1,41.9,41.9,6890
2019-01-02 11:10:00+07:00,42.0,42.0,41.9,41.9,4100
2019-01-02 11:20:00+07:00,41.9,42.0,41.8,42.0,6730
2019-01-02 13:00:00+07:00,42.0,42.0,42.0,42.0,310
2019-01-02 13:10:00+07:00,42.0,42.0,41.8,41.8,12100
2019-01-02 13:20:00+07:00,41.8,41.9,41.8,41.9,13960
2019-01-02 13:30:00+07:00,41.8,41.8,41.8,41.8,5130
2019-01-02 13:40:00+07:00,41.8,41.9,41.8,41.8,11100
2019-01-02 13:50:00+07:00,41.8,41.8,41.75,41.8,21500
2019-01-02 14:00:00+07:00,41.75,41.75,41.6,41.6,41060
2019-01-02 14:10:00+07:00,41.6,41.6,41.55,41.6,7170
2019-01-02 14:20:00+07:00,41.55,41.55,41.15,41.3,84380
2019-01-02 14:40:00+07:00,41.2,41.2,41.2,41.2,64860
2019-01-03 09:10:00+07:00,41.45,41.45,41.2,41.2,29170
2019-01-03 09:20:00+07:00,41.2,41.35,41.1,41.1,25460
2019-01-03 09:30:00+07:00,41.2,41.2,41.1,41.1,6040
2019-01-03 09:40:00+07:00,41.2,41.2,41.1,41.1,8070
2019-01-03 09:50:00+07:00,41.1,41.15,41.1,41.15,30580
2019-01-03 10:00:00+07:00,41.1,41.35,41.1,41.2,24690
2019-01-03 10:10:00+07:00,41.2,41.2,41.2,41.2,14260
2019-01-03 10:20:00+07:00,41.2,41.2,41.15,41.15,10060
2019-01-03 10:30:00+07:00,41.1,41.15,41.0,41.1,27190
2019-01-03 10:40:00+07:00,41.05,41.05,41.0,41.05,23290
2019-01-03 10:50:00+07:00,41.0,41.05,40.9,40.9,70030
2019-01-03 11:00:00+07:00,40.85,40.9,40.8,40.9,44590
2019-01-03 11:10:00+07:00,40.85,40.9,40.85,40.9,3180
2019-01-03 11:20:00+07:00,40.85,40.85,40.8,40.8,30950
2019-01-03 13:00:00+07:00,40.85,40.9,40.8,40.8,21900
2019-01-03 13:10:00+07:00,40.8,40.85,40.7,40.75,60960
2019-01-03 13:20:00+07:00,40.75,40.9,40.75,40.9,31710
2019-01-03 13:30:00+07:00,40.85,40.9,40.85,40.85,50560
2019-01-03 13:40:00+07:00,40.9,40.9,40.8,40.85,32690
2019-01-03 13:50:00+07:00,40.85,40.9,40.8,40.85,33590
2019-01-03 14:00:00+07:00,40.85,40.95,40.85,40.95,25810
2019-01-03 14:10:00+07:00,40.95,41.0,40.8,40.85,50280
2019-01-03 14:20:00+07:00,40.85,40.85,40.8,40.85,34050
2019-01-03 14:40:00+07:00,40.8,40.8,40.8,40.8,27490
2019-01-04 09:10:00+07:00,40.6,40.6,40.55,40.55,17920
2019-01-04 09:20:00+07:00,40.6,40.6,40.5,40.55,27000
2019-01-04 09:30:00+07:00,40.6,40.7,40.6,40.6,17820
2019-01-04 09:40:00+07:00,40.6,40.7,40.6,40.65,12480
2019-01-04 09:50:00+07:00,40.65,40.75,40.65,40.75,5930
2019-01-04 10:00:00+07:00,40.7,40.7,40.6,40.6,28170
2019-01-04 10:10:00+07:00,40.6,40.7,40.6,40.65,9250
2019-01-04 10:20:00+07:00,40.65,40.65,40.6,40.65,34010
2019-01-04 10:30:00+07:00,40.65,41.0,40.6,41.0,5000
2019-01-04 10:40:00+07:00,41.0,41.0,41.0,41.0,1010
2019-01-04 10:50:00+07:00,40.9,41.0,40.9,41.0,7680
2019-01-04 11:00:00+07:00,41.0,41.1,41.0,41.1,13290
2019-01-04 11:10:00+07:00,41.0,41.0,40.95,40.95,10500
2019-01-04 11:20:00+07:00,41.0,41.0,40.95,40.95,220
2019-01-04 13:00:00+07:00,41.0,41.0,40.95,40.95,10750
2019-01-04 13:10:00+07:00,40.9,41.15,40.9,41.15,28340
2019-01-04 13:20:00+07:00,41.0,41.3,41.0,41.3,9510
2019-01-04 13:30:00+07:00,41.4,41.4,41.3,41.35,22270
2019-01-04 13:40:00+07:00,41.3,41.4,41.3,41.3,2220
2019-01-04 13:50:00+07:00,41.3,41.3,41.3,41.3,2180
2019-01-04 14:00:00+07:00,41.4,41.4,41.3,41.3,1130
2019-01-04 14:10:00+07:00,41.3,41.3,41.3,41.3,4960
2019-01-04 14:20:00+07:00,41.3,41.45,41.2,41.3,13620
2019-01-04 14:40:00+07:00,41.1,41.1,41.1,41.1,33310
